fat,len,wid,slat,slon
0,25.31,200,34.7554,-86.866
0,3.38,300,41.9164,-90.2883
0,0.04,20,41.3591,-83.5246
0,2.2,100,41.93,-84.32
0,0.32,110,40.3889,-86.7377
0,0.5,0,34.77,-98.38
0,0.52,75,42.5119,-71.9041
0,0.2,15,47.17,-98.23
0,6.3,1175,34.0754,-86.5272
0,4.0,50,30.7,-94.93
0,2.8,20,29.6024,-97.0871
0,0.1,10,29.08,-81.88
0,0.02,50,39.07,-103.43
0,0.1,10,43.45,-116.45
0,0.44,20,41.58,-93.63
0,2.32,40,26.069000000000003,-80.321
0,1.95,50,36.8769,-76.6721
0,0.1,10,32.63,-96.45
0,2.0,20,42.63,-98.65
0,0.25,100,40.1608,-103.564
0,7.72,100,32.93,-92.77
0,0.5,10,35.25,-87.67
0,4.23,200,40.0005,-90.4201
0,6.0,50,45.25,-91.78
0,5.0,10,29.62,-82.82
0,1.0,200,35.88,-76.72
0,0.3,20,35.9,-97.87
0,2.0,220,34.67,-82.45
0,3.93,100,36.4351,-89.7013
0,0.1,20,35.92,-96.77
0,0.1,20,40.38,-101.79
0,4.96,100,35.428,-101.643
0,0.22,30,38.51,-89.0
0,0.2,50,39.6,-101.72
0,0.55,24,35.6084,-91.3771
0,0.2,50,46.22,-94.82
0,0.0,0,0.0,0.0
0,2.02,20,40.52,-101.56
0,1.5,20,29.9,-93.93
0,0.01,25,31.58,-81.37
0,0.1,50,30.33,-83.03
0,8.03,100,34.2304,-102.5229
0,0.1,50,39.18,-104.75
0,0.67,25,39.5588,-100.296
0,0.18,30,34.951,-86.99600000000001
0,0.6,600,27.65,-98.08
0,0.2,50,37.07,-90.72
1,6.0,125,32.77,-97.33
0,0.1,20,45.82,-92.08
0,1.05,75,35.062,-100.9521
0,1.0,50,39.07,-77.35
0,0.1,23,28.08,-80.6
0,3.0,50,33.0,-115.07
0,3.77,67,40.59,-84.4556
0,0.2,30,40.62,-74.43
0,1.0,40,47.18,-95.38
0,8.23,400,40.5621,-90.6736
0,0.2,30,35.424,-99.37200000000001
0,2.28,100,44.3406,-93.0498
0,1.48,150,34.431,-92.18799999999999
0,0.4,120,33.3682,-105.54899999999999
0,0.56,50,36.39,-78.95
2,5.89,350,31.6986,-89.2239
0,0.1,20,32.97,-97.73
0,0.05,40,36.5099,-88.4896
0,0.1,20,42.3,-102.72
0,18.0,880,33.68,-93.57
0,6.0,100,40.1,-93.9
0,0.5,75,35.35,-98.95
0,0.36,30,43.6582,-89.1851
0,3.0,600,35.73,-96.93
0,0.1,30,40.7,-99.03
0,3.0,75,48.43,-97.9
0,0.1,10,37.35,-105.52
0,2.6,150,35.179,-85.28
0,0.13,50,27.9977,-82.8285
2,28.0,900,38.02,-102.12
0,6.6,350,37.1,-101.65
